ITER,ALPHA
0,176.392808
1,176.392808
2,176.392808
3,176.392808
4,101.397453
5,49.342272
6,49.342272
7,49.342272
8,-171.137895
9,-171.137895
10,-171.137895
11,-171.137895
12,-171.137895
13,-171.137895
14,-171.137895
15,-171.137895
16,-171.137895
17,-171.137895
18,-171.137895
19,-171.137895
20,-186.706752
21,-186.706752
22,-186.706752
23,-186.706752
24,-186.706752
25,-186.706752
26,-186.706752
27,-186.706752
28,-186.706752
29,-186.706752
30,-186.706752
31,-186.706752
32,-186.706752
33,-186.706752
34,-186.706752
35,-186.706752
36,-186.706752
37,-186.706752
38,-186.706752
39,-186.706752
