ITER,ALPHA
0,374.774609
1,374.774609
2,374.774609
3,374.774609
4,374.774609
5,127.637843
6,127.637843
7,127.637843
8,127.637843
9,127.637843
10,127.637843
11,127.637843
12,127.637843
13,126.417947
14,126.417947
15,126.417947
16,126.417947
17,86.005748
18,86.005748
19,86.005748
20,86.005748
21,86.005748
22,86.005748
23,86.005748
24,86.005748
25,79.598568
26,79.598568
27,79.598568
28,79.598568
29,79.598568
30,76.182324
31,76.182324
32,37.094987
33,37.094987
34,37.094987
35,37.094987
36,37.094987
37,37.094987
38,37.094987
39,37.094987
40,37.094987
41,37.094987
42,37.094987
43,37.094987
44,37.094987
45,37.094987
46,37.094987
47,37.094987
48,37.094987
49,37.094987
50,37.094987
51,37.094987
52,37.094987
53,37.094987
54,37.094987
55,37.094987
56,37.094987
57,37.094987
58,37.094987
59,37.094987
60,37.094987
61,37.094987
62,37.094987
63,37.094987
64,37.094987
65,37.094987
66,37.094987
67,37.094987
68,37.094987
69,37.094987
70,37.094987
71,37.094987
