ITER,ALPHA
0,1030.373743
1,562.524177
2,223.509267
3,223.509267
4,223.509267
5,126.372102
6,126.372102
7,126.372102
8,126.372102
9,126.372102
10,126.372102
11,126.372102
12,126.372102
13,126.372102
14,126.372102
15,118.890540
16,118.890540
17,118.890540
18,118.890540
19,118.890540
20,111.100492
21,111.100492
22,111.100492
23,61.719344
24,61.719344
25,61.719344
26,51.763646
27,51.763646
28,51.763646
29,51.763646
30,51.763646
31,51.763646
32,51.763646
33,51.763646
34,51.763646
35,36.914144
36,26.466116
37,-57.057101
38,-57.057101
39,-57.057101
40,-57.057101
41,-57.057101
42,-57.057101
43,-57.057101
44,-57.057101
45,-57.057101
46,-57.057101
47,-57.057101
48,-57.057101
49,-57.057101
50,-57.057101
51,-57.057101
