ITER,ALPHA
0,27.908945
1,18.168544
2,-3.301266
3,-37.637902
4,-37.637902
5,-37.637902
6,-37.637902
7,-37.637902
8,-41.726086
9,-41.899210
10,-41.899210
11,-41.899210
12,-52.893620
13,-52.893620
14,-52.893620
15,-52.893620
16,-52.893620
17,-52.893620
18,-52.893620
19,-52.893620
20,-52.893620
21,-62.728253
22,-62.728253
23,-62.728253
24,-62.728253
25,-62.728253
26,-62.728253
27,-62.728253
28,-62.728253
29,-62.728253
30,-62.728253
31,-62.728253
32,-62.728253
33,-62.728253
34,-62.728253
35,-62.728253
36,-62.728253
37,-62.728253
38,-62.728253
39,-62.728253
