ITER,ALPHA
0,36.665450
1,-8.687812
2,-8.687812
3,-8.687812
4,-13.396762
5,-13.396762
6,-13.396762
7,-13.396762
8,-13.396762
9,-18.699396
10,-18.699396
11,-33.566034
12,-33.566034
13,-57.807299
14,-57.807299
15,-57.807299
16,-57.807299
17,-57.807299
18,-57.807299
19,-78.355712
20,-78.355712
21,-78.355712
22,-78.355712
23,-91.500783
24,-104.646766
25,-104.646766
26,-104.646766
27,-104.646766
28,-104.646766
29,-104.646766
30,-104.646766
31,-104.646766
32,-104.646766
33,-104.646766
34,-104.646766
35,-104.646766
36,-104.646766
37,-104.646766
38,-104.646766
39,-104.646766
